s_no,college_code,college_name,location,region,college_type
61,1243,"Madha Institute of Engineering and Technology, Erandamkattalai Village, Sadhananthapuram, Thandalam Post, Chennai 602101 ",chennai,chennai,self financing colleges
62,1301,"Mohamed Sathak A J College of Engineering, Old Mahabalipuram Road (OMR), Egattur, Chengalpattu District 603103 ",chengalpattu,chennai,self financing colleges
63,1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103 ",chengalpattu,chennai,self financing colleges
64,1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089 ",chennai,chennai,self financing colleges
65,1306,"Jeppiar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119 ",chennai,chennai,self financing colleges
66,1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100 ",chennai,chennai,self financing colleges
67,1309,"Meenakshi Sundararajan Engineering College, Kodambakkam, Chennai 600024 ",chennai,chennai,self financing colleges
68,1310,"Misrimal Navajee Munoth Jain Engineering College, Rajiv Gandhi Salai (OMR), Thorappakkam, Chennai 600096 ",chennai,chennai,self financing colleges
69,1311,"K C G College of Technology, Karappakkam, Chennai 600096 ",chennai,chennai,self financing colleges
70,1313,"Shree Motilal Kanhaiyalal (SMK)Fomra Institute of Technology, Old Mahabalipuram Road (OMR), Kelambakkam, Chengalpattu District 603103 ",chengalpattu,chennai,self financing colleges
71,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110 ",chengalpattu,chennai,self financing colleges
72,1316,"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103 ",chengalpattu,chennai,self financing colleges
73,1317,"St. Joseph’s College of Engineering, Old Mahabalipuram Road (OMR), Chennai 600 119 ",chennai,chennai,self financing colleges
74,1318,"T.J INSTITUTE OF TECHNOLOGY, KARAPAKKAM CH-97 ",karapakkam,chennai,self financing colleges
75,1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097 ",chennai,chennai,self financing colleges
76,1320,"Jeppiaar SRR Engineering College, Old Mahabalipuram Road, Chengalpattu District 603103 ",chengalpattu,chennai,self financing colleges
77,1321,"Central Institute of Plastics Engineering and Technology (CIPET), Guindy, Chennai 600032 ",chennai,chennai,cerci and cipet
78,1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri, Chennai 603104 ",chennai,chennai,self financing colleges
79,1323,"A C T College of Engineering and Technology, Nelvoy Village, Pukkathurai Post, Maduranthagam, Chengalpattu District 603107 ",Chengalpattu,chennai,self financing colleges
80,1324,"Sri Sai Ram Institute of Technology (Autonomous), West Tambaram, Chennai 600044 ",chennai,chennai,self financing colleges
81,1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
82,1333,"Vi Institute of Technology, Sirunkundram Village & Post, Chengalpattu District 603108 ",chengalpattu,chennai,self financing colleges
83,1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai 601301 ",chennai,chennai,self financing colleges
84,1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069 ",chennai,chennai,self financing colleges
85,1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319 ",chengalpattu,chennai,self financing colleges
86,1402,"Annai Terasa College of Engineering, Thirunavalur, Kallakkurichi District 607204 ",kallakurichi,coimbatore,self financing colleges
87,1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai 601301 ",chennai,chennai,self financing colleges
88,1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai 600063 ",chennai,chennai,self financing colleges
89,1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District 605108 ",villupuram,thanjavur,self financing colleges
90,1409,"Karpagavinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308 ",chengalpattu,chennai,self financing colleges
92,1412,"Mailam Engineering College, Mailam, Villupuram District 604304 ",villupuram,thanjavur,self financing colleges
93,1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
94,1414,"Prince Shri Venkateshwara Padmavathy Enginering College, Ponmar, Chennai 600048 ",chennai,chennai,self financing colleges
95,1415,"T S M Jain College of Technology, Melur Village, Kallakurichi District 606201 ",kallakurichi,coimbatore,self financing colleges
96,1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024 ",chennai,chennai,self financing colleges
97,1419,"Sri Sairam Enginering College (Autonomous), West Tambaram, Chennai 600044 ",chennai,chennai,self financing colleges
98,1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048 ",chennai,chennai,self financing colleges
99,1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107 ",villupuram,thanjavur,self financing colleges
100,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203 ",chennai,chennai,self financing colleges
101,1423,"Asan Memorial College of Engineering and Technology,Chengalpattu- 603 001. ",chengalpattu,chennai,self financing colleges
102,1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301 ",chennai,chennai,self financing colleges
103,1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600048 ",chennai,chennai,self financing colleges
104,1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301 ",chennai,chennai,self financing colleges
105,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District 606201 ",kallakurichi,coimbatore,self financing colleges
106,1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowriwakkam, Chennai 600073 ",chennai,chennai,self financing colleges
107,1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District 602107 ",kancheepuram,chennai,self financing colleges
108,1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652 ",villupuram,thanjavur,self financing colleges
109,1435,"Jagannath Institute of Technology, Thandalam Village, Thiruporur, Kancheepuram District 603110 ",kancheepuram,chennai,self financing colleges
110,1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601 ",villupuram,thanjavur,self financing colleges
111,1437,"Rrase College of Engineering, Padappai, Chennai 601301 ",chennai,chennai,self financing colleges
112,1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village, Vellore District 632101 ",vellore,chennai,self financing colleges
113,1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202 ",kallakurichi,coimbatore,self financing colleges
